('Barrie Youngfellow', '/wiki/Barrie_Youngfellow')
('Karen Allen', '/wiki/Karen_Allen')
('Lindsay Lohan', '/wiki/Lindsay_Lohan')
('Liza Snyder', '/wiki/Liza_Snyder')
('Holly Marie Combs', '/wiki/Holly_Marie_Combs')
('Megyn Price', '/wiki/Megyn_Price')
('Ann Miller', '/wiki/Ann_Miller')
('Amanda Righetti', '/wiki/Amanda_Righetti')
('Amber Valletta', '/wiki/Amber_Valletta')
('Michole Briana White', '/wiki/Michole_Briana_White')
('Goldie Hawn', '/wiki/Goldie_Hawn')
('Greer Grammer', '/wiki/Greer_Grammer')
('Debra Jo Rupp', '/wiki/Debra_Jo_Rupp')
('Rachel Ward', '/wiki/Rachel_Ward')
('Tracy Griffith', '/wiki/Tracy_Griffith')
('Lisa Rinna', '/wiki/Lisa_Rinna')
('Cyd Charisse', '/wiki/Cyd_Charisse')
('Valarie Pettiford', '/wiki/Valarie_Pettiford')
('Rooney Mara', '/wiki/Rooney_Mara')
('Elisabeth Moss', '/wiki/Elisabeth_Moss')
('Paulette Goddard', '/wiki/Paulette_Goddard')
('Megan Fox', '/wiki/Megan_Fox')
('Judy Clark', '/wiki/Judy_Clark')
('Scarlett Pomers', '/wiki/Scarlett_Pomers')
('Elizabeth McGovern', '/wiki/Elizabeth_McGovern')
('Uta Hagen', '/wiki/Uta_Hagen')
('Brooklyn Nelson', '/wiki/Brooklyn_Nelson')
('Mindy Kaling', '/wiki/Mindy_Kaling')
('Virginia Grey', '/wiki/Virginia_Grey')
('Melora Hardin', '/wiki/Melora_Hardin')
('Nicole Kidman', '/wiki/Nicole_Kidman')
('Joan Fontaine', '/wiki/Joan_Fontaine')
('Fryda Wolff', '/wiki/Fryda_Wolff')
('Jane Kaczmarek', '/wiki/Jane_Kaczmarek')
('Ami Dolenz', '/wiki/Ami_Dolenz')
('Jennifer Carpenter', '/wiki/Jennifer_Carpenter')
('Laura Slade Wiggins', '/wiki/Laura_Slade_Wiggins')
('Majel Barrett', '/wiki/Majel_Barrett')
('Anna Nicole Smith', '/wiki/Anna_Nicole_Smith')
('Melinda Clarke', '/wiki/Melinda_Clarke')
('Zoey Deutch', '/wiki/Zoey_Deutch')
('Briana Evigan', '/wiki/Briana_Evigan')
('Julie Warner', '/wiki/Julie_Warner')
('America Ferrera', '/wiki/America_Ferrera')
('Mary Kay Place', '/wiki/Mary_Kay_Place')
('Jeanne Eagels', '/wiki/Jeanne_Eagels')
('Jennifer Love Hewitt', '/wiki/Jennifer_Love_Hewitt')
('Elizabeth Perkins', '/wiki/Elizabeth_Perkins')
('Kirstie Alley', '/wiki/Kirstie_Alley')
('Rosalind Chao', '/wiki/Rosalind_Chao')
('Elizabeth Berkley', '/wiki/Elizabeth_Berkley')
('Amanda Peet', '/wiki/Amanda_Peet')
('Nicole Gale Anderson', '/wiki/Nicole_Gale_Anderson')
('Patricia Pearcy', '/wiki/Patricia_Pearcy')
('Adele Mara', '/wiki/Adele_Mara')
('Eleanor Parker', '/wiki/Eleanor_Parker')
('Jackie Joseph', '/wiki/Jackie_Joseph')
('Kym Whitley', '/wiki/Kym_Whitley')
('Shirley Temple', '/wiki/Shirley_Temple')
('Blair Brown', '/wiki/Blair_Brown')
('Kate Hudson', '/wiki/Kate_Hudson')
('Betty Buckley', '/wiki/Betty_Buckley')
('Jean Hagen', '/wiki/Jean_Hagen')
('Demi Moore', '/wiki/Demi_Moore')
('Amanda Blake', '/wiki/Amanda_Blake')
('Bailee Madison', '/wiki/Bailee_Madison')
('Emmy Rossum', '/wiki/Emmy_Rossum')
('Sara Jean Underwood', '/wiki/Sara_Jean_Underwood')
('Mackenzie Phillips', '/wiki/Mackenzie_Phillips')
('Michaela Watkins', '/wiki/Michaela_Watkins')
('Carlene Watkins', '/wiki/Carlene_Watkins')
('Tessa Thompson', '/wiki/Tessa_Thompson')
('Vanessa Brown', '/wiki/Vanessa_Brown')
('Emily Ratajkowski', '/wiki/Emily_Ratajkowski')
('Paz de la Huerta', '/wiki/Paz_de_la_Huerta')
('Patricia Tallman', '/wiki/Patricia_Tallman')
('Nancy Kelly', '/wiki/Nancy_Kelly')
('Blythe Danner', '/wiki/Blythe_Danner')
('Rochelle Hudson', '/wiki/Rochelle_Hudson')
('Holly Robinson-Peete', '/wiki/Holly_Robinson-Peete')
('Leslie Mann', '/wiki/Leslie_Mann')
('Jennifer Hudson', '/wiki/Jennifer_Hudson')
('Bess Armstrong', '/wiki/Bess_Armstrong')
('Madeline Zima', '/wiki/Madeline_Zima')
('Diane Ladd', '/wiki/Diane_Ladd')
('Ricki Noel Lander', '/wiki/Ricki_Noel_Lander')
('Kelly Ripa', '/wiki/Kelly_Ripa')
('Ellen Corby', '/wiki/Ellen_Corby')
('Kari Wuhrer', '/wiki/Kari_Wuhrer')
('Shelley Long', '/wiki/Shelley_Long')
('Irene Ryan', '/wiki/Irene_Ryan')
('Carol Dempster', '/wiki/Carol_Dempster')
('Shiri Appleby', '/wiki/Shiri_Appleby')
('Ella Joyce', '/wiki/Ella_Joyce')
('Kimberlin Brown', '/wiki/Kimberlin_Brown')
('Tammy Blanchard', '/wiki/Tammy_Blanchard')
('Ruby Dee', '/wiki/Ruby_Dee')
('Faye Dunaway', '/wiki/Faye_Dunaway')
('Cynthia Nixon', '/wiki/Cynthia_Nixon')
('Traci Bingham', '/wiki/Traci_Bingham')
('Mary Beth Evans', '/wiki/Mary_Beth_Evans')
('Corinne Griffith', '/wiki/Corinne_Griffith')
('Donna Murphy', '/wiki/Donna_Murphy')
('Lake Bell', '/wiki/Lake_Bell')
('Miriam Hopkins', '/wiki/Miriam_Hopkins')
('Nikki Blonsky', '/wiki/Nikki_Blonsky')
('Joy Harmon', '/wiki/Joy_Harmon')
('Jayne Heitmeyer', '/wiki/Jayne_Heitmeyer')
('Clara Bow', '/wiki/Clara_Bow')
('Suzanne Cryer', '/wiki/Suzanne_Cryer')
('Mariel Hemingway', '/wiki/Mariel_Hemingway')
('Melissa George', '/wiki/Melissa_George')
('Courtney Halverson', '/wiki/Courtney_Halverson')
('Carol Sutton (actress)', '/wiki/Carol_Sutton_(actress)')
('Tamara Taylor', '/wiki/Tamara_Taylor')
('Molly Quinn', '/wiki/Molly_Quinn')
('Chelsea Kane', '/wiki/Chelsea_Kane')
('Donzaleigh Abernathy', '/wiki/Donzaleigh_Abernathy')
('Lindsay Price', '/wiki/Lindsay_Price')
('Anne Ramsey', '/wiki/Anne_Ramsey')
('Tara Buck', '/wiki/Tara_Buck')
('Dorothy Mackaill', '/wiki/Dorothy_Mackaill')
('Jaci Velasquez', '/wiki/Jaci_Velasquez')
('Cassandra Peterson', '/wiki/Cassandra_Peterson')
('Nikki Hahn', '/wiki/Nikki_Hahn')
('Alley Mills', '/wiki/Alley_Mills')
('Joanne Woodward', '/wiki/Joanne_Woodward')
('Caity Lotz', '/wiki/Caity_Lotz')
('Alice Calhoun', '/wiki/Alice_Calhoun')
('Kate Lyn Sheil', '/wiki/Kate_Lyn_Sheil')
('Liana Liberato', '/wiki/Liana_Liberato')
('Jackie Sandler', '/wiki/Jackie_Sandler')
('Hilarie Burton', '/wiki/Hilarie_Burton')
('Meryl Streep', '/wiki/Meryl_Streep')
('Norma Shearer', '/wiki/Norma_Shearer')
('Marylouise Burke', '/wiki/Marylouise_Burke')
('Jayme Lawson', '/wiki/Jayme_Lawson')
('China Anne McClain', '/wiki/China_Anne_McClain')
('Mimi Rogers', '/wiki/Mimi_Rogers')
('Maya Rudolph', '/wiki/Maya_Rudolph')
('Jane Alexander', '/wiki/Jane_Alexander')
('Susan Strasberg', '/wiki/Susan_Strasberg')
('Penelope Ann Miller', '/wiki/Penelope_Ann_Miller')
('Barbara Bain', '/wiki/Barbara_Bain')
('Nancy Sinatra', '/wiki/Nancy_Sinatra')
('Misty Rowe', '/wiki/Misty_Rowe')
('Constance Ford', '/wiki/Constance_Ford')
('Tanisha Harper', '/wiki/Tanisha_Harper')
('Ashley Fink', '/wiki/Ashley_Fink')
('Jennifer Rubin (actress)', '/wiki/Jennifer_Rubin_(actress)')
('Constance Towers', '/wiki/Constance_Towers')
('Mamie Gummer', '/wiki/Mamie_Gummer')
('Salma Hayek', '/wiki/Salma_Hayek')
('Mary Crosby', '/wiki/Mary_Crosby')
('Ethel Merman', '/wiki/Ethel_Merman')
('Bette Midler', '/wiki/Bette_Midler')
('Jena Malone', '/wiki/Jena_Malone')
('Camille Winbush', '/wiki/Camille_Winbush')
('Glenn Close', '/wiki/Glenn_Close')
("Mo'Nique", '/wiki/Mo%27Nique')('Phoebe Cates', '/wiki/Phoebe_Cates')
('L. Scott Caldwell', '/wiki/L._Scott_Caldwell')
('Keke Palmer', '/wiki/Keke_Palmer')
('Cassidy Rae', '/wiki/Cassidy_Rae')
('Stacey Dash', '/wiki/Stacey_Dash')
("Annette O'Toole", '/wiki/Annette_O%27Toole')('Luana Patten', '/wiki/Luana_Patten')
('Katharine Hepburn', '/wiki/Katharine_Hepburn')
('Jennifer Rhodes', '/wiki/Jennifer_Rhodes')
('Nita Talbot', '/wiki/Nita_Talbot')
('Lynn Collins', '/wiki/Lynn_Collins')
('Mary Jo Deschanel', '/wiki/Mary_Jo_Deschanel')
('Maggie Lawson', '/wiki/Maggie_Lawson')
('Dana Plato', '/wiki/Dana_Plato')
('Mindy Sterling', '/wiki/Mindy_Sterling')
('Chandra Wilson', '/wiki/Chandra_Wilson')
('Kay Lenz', '/wiki/Kay_Lenz')
('Allison Janney', '/wiki/Allison_Janney')
('Beulah Quo', '/wiki/Beulah_Quo')
('Ariana Grande', '/wiki/Ariana_Grande')
('Eleanor Powell', '/wiki/Eleanor_Powell')
('Kathryn Newton', '/wiki/Kathryn_Newton')
('Eve (rapper)', '/wiki/Eve_(rapper)')
('Amy Adams', '/wiki/Amy_Adams')
('Odette Annable', '/wiki/Odette_Annable')
('Janis Paige', '/wiki/Janis_Paige')
('Holly Fields', '/wiki/Holly_Fields')
('Barbara Baxley', '/wiki/Barbara_Baxley')
('Eve McVeagh', '/wiki/Eve_McVeagh')
('Connie Stevens', '/wiki/Connie_Stevens')
('Phyllis Povah', '/wiki/Phyllis_Povah')
('Kate Bosworth', '/wiki/Kate_Bosworth')
('Sondra Locke', '/wiki/Sondra_Locke')
('Sissy Spacek', '/wiki/Sissy_Spacek')
('Charlize Theron', '/wiki/Charlize_Theron')
('Beverly Archer', '/wiki/Beverly_Archer')
('Halle Berry', '/wiki/Halle_Berry')
('Anissa Jones', '/wiki/Anissa_Jones')
('Monica Keena', '/wiki/Monica_Keena')
('Brooke Valentine', '/wiki/Brooke_Valentine')
('Madeline Kahn', '/wiki/Madeline_Kahn')
('Talia Balsam', '/wiki/Talia_Balsam')
('Susan Olsen', '/wiki/Susan_Olsen')
('Stephanie Courtney', '/wiki/Stephanie_Courtney')
('Margaret Cho', '/wiki/Margaret_Cho')
('Linda Cardellini', '/wiki/Linda_Cardellini')
('Julia Garner', '/wiki/Julia_Garner')
('Virginia Madsen', '/wiki/Virginia_Madsen')
('Sheryl Lee', '/wiki/Sheryl_Lee')
('Jennifer Coolidge', '/wiki/Jennifer_Coolidge')
('Lucy Hale', '/wiki/Lucy_Hale')
('Josie Davis', '/wiki/Josie_Davis')
('Rita Hayworth', '/wiki/Rita_Hayworth')
('Karyn Parsons', '/wiki/Karyn_Parsons')
('Melissa Leo', '/wiki/Melissa_Leo')
('Whitney Houston', '/wiki/Whitney_Houston')
('Natasha Gregson Wagner', '/wiki/Natasha_Gregson_Wagner')
('Louise Lasser', '/wiki/Louise_Lasser')
('Beulah Bondi', '/wiki/Beulah_Bondi')
('Elizabeth Montgomery', '/wiki/Elizabeth_Montgomery')
('Rosalind Allen', '/wiki/Rosalind_Allen')
('Shirley Knight', '/wiki/Shirley_Knight')
('Alison Eastwood', '/wiki/Alison_Eastwood')
('Angelina Jolie', '/wiki/Angelina_Jolie')
('Aileen Quinn', '/wiki/Aileen_Quinn')
('Claire Danes', '/wiki/Claire_Danes')
('Jennifer Jones (actress)', '/wiki/Jennifer_Jones_(actress)')
('Kathleen Quinlan', '/wiki/Kathleen_Quinlan')
('Rachel Nichols (actress)', '/wiki/Rachel_Nichols_(actress)')
('Madeline Carroll', '/wiki/Madeline_Carroll')
('Masiela Lusha', '/wiki/Masiela_Lusha')
('Leigh-Allyn Baker', '/wiki/Leigh-Allyn_Baker')
('Natalie Moorhead', '/wiki/Natalie_Moorhead')
('Ashley Judd', '/wiki/Ashley_Judd')
('Carol Channing', '/wiki/Carol_Channing')
('Sandy Johnson', '/wiki/Sandy_Johnson')
('Jane Lynch', '/wiki/Jane_Lynch')
('Sanaa Lathan', '/wiki/Sanaa_Lathan')
('Brenda Song', '/wiki/Brenda_Song')
('Mena Suvari', '/wiki/Mena_Suvari')
('Liza Lapira', '/wiki/Liza_Lapira')
('Ellen Pompeo', '/wiki/Ellen_Pompeo')
('Kate del Castillo', '/wiki/Kate_del_Castillo')
('Gabrielle Union', '/wiki/Gabrielle_Union')
('Crystal Reed', '/wiki/Crystal_Reed')
('Molly Ephraim', '/wiki/Molly_Ephraim')
('Monica Potter', '/wiki/Monica_Potter')
('Barbra Streisand', '/wiki/Barbra_Streisand')
('Yvonne De Carlo', '/wiki/Yvonne_De_Carlo')
('Shari Headley', '/wiki/Shari_Headley')
('Julie Kavner', '/wiki/Julie_Kavner')
('Wendi McLendon-Covey', '/wiki/Wendi_McLendon-Covey')
('Brooklyn Decker', '/wiki/Brooklyn_Decker')
('Leslie Grossman', '/wiki/Leslie_Grossman')
('Wendy Makkena', '/wiki/Wendy_Makkena')
('Ashley Laurence', '/wiki/Ashley_Laurence')
('Maitland Ward', '/wiki/Maitland_Ward')
('Barbara Bach', '/wiki/Barbara_Bach')
('Reese Witherspoon', '/wiki/Reese_Witherspoon')
('Barbara Bel Geddes', '/wiki/Barbara_Bel_Geddes')
('Kelly Le Brock', '/wiki/Kelly_Le_Brock')
('Patty Duke', '/wiki/Patty_Duke')
('Melina Kanakaredes', '/wiki/Melina_Kanakaredes')
('Ashley Hinshaw', '/wiki/Ashley_Hinshaw')
('Maureen McGovern', '/wiki/Maureen_McGovern')
('Victoria Rowell', '/wiki/Victoria_Rowell')
('Stella Stevens', '/wiki/Stella_Stevens')
('Jodie Foster', '/wiki/Jodie_Foster')
('Maggie Gyllenhaal', '/wiki/Maggie_Gyllenhaal')
('Samaire Armstrong', '/wiki/Samaire_Armstrong')
('Helen Slater', '/wiki/Helen_Slater')
('Victoria Jackson', '/wiki/Victoria_Jackson')
('Bridgit Mendler', '/wiki/Bridgit_Mendler')
('Marisa Tomei', '/wiki/Marisa_Tomei')
('Peggy Ann Garner', '/wiki/Peggy_Ann_Garner')
('Piper Perabo', '/wiki/Piper_Perabo')
('Natalie Portman', '/wiki/Natalie_Portman')
('Brit Marling', '/wiki/Brit_Marling')
('Kim Stanley', '/wiki/Kim_Stanley')
('Brett Butler (actress)', '/wiki/Brett_Butler_(actress)')
('Sutton Foster', '/wiki/Sutton_Foster')
('Candice Bergen', '/wiki/Candice_Bergen')
('Gates McFadden', '/wiki/Gates_McFadden')
('Anne Jeffreys', '/wiki/Anne_Jeffreys')
('Janet Leigh', '/wiki/Janet_Leigh')
('Molly Picon', '/wiki/Molly_Picon')
('Nina Foch', '/wiki/Nina_Foch')
('Laura Allen', '/wiki/Laura_Allen')
('Christine Lakin', '/wiki/Christine_Lakin')
('Susan Saint James', '/wiki/Susan_Saint_James')
('Peggie Castle', '/wiki/Peggie_Castle')
('Molly Ringwald', '/wiki/Molly_Ringwald')
('Alexis Knapp', '/wiki/Alexis_Knapp')
('Norma Talmadge', '/wiki/Norma_Talmadge')
('Diane Delano', '/wiki/Diane_Delano')
('Lara Flynn Boyle', '/wiki/Lara_Flynn_Boyle')
('Kristen Stewart', '/wiki/Kristen_Stewart')
('Amber Tamblyn', '/wiki/Amber_Tamblyn')
('Bobbie Eakes', '/wiki/Bobbie_Eakes')
('Theresa Russell', '/wiki/Theresa_Russell')
('Mayim Bialik', '/wiki/Mayim_Bialik')
('Julianne Moore', '/wiki/Julianne_Moore')
('Arielle Kebbel', '/wiki/Arielle_Kebbel')
('Lucy Boynton', '/wiki/Lucy_Boynton')
('Cathy Moriarty', '/wiki/Cathy_Moriarty')
('Mabel Normand', '/wiki/Mabel_Normand')
('Marlo Thomas', '/wiki/Marlo_Thomas')
('Bernadette Peters', '/wiki/Bernadette_Peters')
('Celia Weston', '/wiki/Celia_Weston')
('Margot Rose', '/wiki/Margot_Rose')
('Danai Gurira', '/wiki/Danai_Gurira')
('Suzanne Pleshette', '/wiki/Suzanne_Pleshette')
('Linda Purl', '/wiki/Linda_Purl')
('Julie Delpy', '/wiki/Julie_Delpy')
('Embeth Davidtz', '/wiki/Embeth_Davidtz')
('Mildred Natwick', '/wiki/Mildred_Natwick')
('Sharon Farrell', '/wiki/Sharon_Farrell')
('Loretta Devine', '/wiki/Loretta_Devine')
('Susanna Thompson', '/wiki/Susanna_Thompson')
('Rashida Jones', '/wiki/Rashida_Jones')
('Estelle Harris', '/wiki/Estelle_Harris')
('Gail Russell', '/wiki/Gail_Russell')
('Jeannie Berlin', '/wiki/Jeannie_Berlin')
("Catherine O'Hara", '/wiki/Catherine_O%27Hara')('Danitra Vance', '/wiki/Danitra_Vance')
('Barbara Feldon', '/wiki/Barbara_Feldon')
('Phyllis Diller', '/wiki/Phyllis_Diller')
('Vanessa Lachey', '/wiki/Vanessa_Lachey')
('Oona Laurence', '/wiki/Oona_Laurence')
('Emily Rose (actress)', '/wiki/Emily_Rose_(actress)')
('Laurel Holloman', '/wiki/Laurel_Holloman')
('Catherine Kellner', '/wiki/Catherine_Kellner')
('Leslie Stefanson', '/wiki/Leslie_Stefanson')
('Amy Acker', '/wiki/Amy_Acker')
('Jessica Biel', '/wiki/Jessica_Biel')
('Barbara Stuart', '/wiki/Barbara_Stuart')
('Aisha Tyler', '/wiki/Aisha_Tyler')
('Alex Borstein', '/wiki/Alex_Borstein')
('Jennifer Esposito', '/wiki/Jennifer_Esposito')
('Kellie Martin', '/wiki/Kellie_Martin')
('Judith Ivey', '/wiki/Judith_Ivey')
('Cady McClain', '/wiki/Cady_McClain')
('Ann Robinson', '/wiki/Ann_Robinson')
('Ann Gillis', '/wiki/Ann_Gillis')
('Peggy Lipton', '/wiki/Peggy_Lipton')
('Mariah Carey', '/wiki/Mariah_Carey')
('Anne Francis', '/wiki/Anne_Francis')
('Kristen Wiig', '/wiki/Kristen_Wiig')
('Angie Everhart', '/wiki/Angie_Everhart')
('Marlene Dietrich', '/wiki/Marlene_Dietrich')
('Sammi Hanratty', '/wiki/Sammi_Hanratty')
('Madolyn Smith', '/wiki/Madolyn_Smith')
('Juanita Moore', '/wiki/Juanita_Moore')
('Sherry Jackson', '/wiki/Sherry_Jackson')
('Aaliyah Haughton', '/wiki/Aaliyah_Haughton')
('Kathy Bates', '/wiki/Kathy_Bates')
('Rachael Leigh Cook', '/wiki/Rachael_Leigh_Cook')
('Madelyn Deutch', '/wiki/Madelyn_Deutch')
('Kitty Carlisle', '/wiki/Kitty_Carlisle')
('Melissa McCarthy', '/wiki/Melissa_McCarthy')
('Kim Raver', '/wiki/Kim_Raver')
('Nana Visitor', '/wiki/Nana_Visitor')
('Carrie Fisher', '/wiki/Carrie_Fisher')
('Ginnifer Goodwin', '/wiki/Ginnifer_Goodwin')
('Dominique Dunne', '/wiki/Dominique_Dunne')
('Erika Eleniak', '/wiki/Erika_Eleniak')
('Mel Harris', '/wiki/Mel_Harris')
('Noureen DeWulf', '/wiki/Noureen_DeWulf')
('Dorothy Malone', '/wiki/Dorothy_Malone')
('Sally Struthers', '/wiki/Sally_Struthers')
('Jeanne Tripplehorn', '/wiki/Jeanne_Tripplehorn')
('Elizabeth Patterson (actress)', '/wiki/Elizabeth_Patterson_(actress)')
('Florence Halop', '/wiki/Florence_Halop')
('Meaghan Jette Martin', '/wiki/Meaghan_Jette_Martin')
('Ella Jay Basco', '/wiki/Ella_Jay_Basco')
('Lisa Wilcox', '/wiki/Lisa_Wilcox')
('Logan Browning', '/wiki/Logan_Browning')
('Jenna von Oÿ', '/wiki/Jenna_von_O%C3%BF')
('Nancy Davis Reagan', '/wiki/Nancy_Davis_Reagan')
('Marilyn Monroe', '/wiki/Marilyn_Monroe')
('Elaine Stewart', '/wiki/Elaine_Stewart')
('Taryn Manning', '/wiki/Taryn_Manning')
('Pat Priest (actress)', '/wiki/Pat_Priest_(actress)')
('Debra Messing', '/wiki/Debra_Messing')
('Leighton Meester', '/wiki/Leighton_Meester')
('Lena Horne', '/wiki/Lena_Horne')
('Kim Fields', '/wiki/Kim_Fields')
('Brenda Bakke', '/wiki/Brenda_Bakke')
('Anne Meara', '/wiki/Anne_Meara')
('Eileen Heckart', '/wiki/Eileen_Heckart')
('Shannyn Sossamon', '/wiki/Shannyn_Sossamon')
('Amber Stevens', '/wiki/Amber_Stevens')
('Lois Chiles', '/wiki/Lois_Chiles')
('Kenya D. Williamson', '/wiki/Kenya_D._Williamson')
('Rebecca Herbst', '/wiki/Rebecca_Herbst')
('Persia White', '/wiki/Persia_White')
('Melonie Diaz', '/wiki/Melonie_Diaz')
('Sandy Dennis', '/wiki/Sandy_Dennis')
('Irene Dailey', '/wiki/Irene_Dailey')
('Mona Freeman', '/wiki/Mona_Freeman')
('Trini Alvarado', '/wiki/Trini_Alvarado')
('Kathy Najimy', '/wiki/Kathy_Najimy')
('Linda Kaye Henning', '/wiki/Linda_Kaye_Henning')
